년도,분기,상권유형,상권,추정매출_금액,추정매출_건수,추정매출_금액_주중주말_주중,추정매출_금액_주중주말_주말,추정매출_금액_요일별_월,추정매출_금액_요일별_화,추정매출_금액_요일별_수,추정매출_금액_요일별_목,추정매출_금액_요일별_금,추정매출_금액_요일별_토,추정매출_금액_요일별_일,추정매출_금액_시간대별_00-06,추정매출_금액_시간대별_06-11,추정매출_금액_시간대별_11-14,추정매출_금액_시간대별_14-17,추정매출_금액_시간대별_17-21,추정매출_금액_시간대별_21-24,추정매출_금액_성별_남성,추정매출_금액_성별_여성,추정매출_금액_연령대별_10대,추정매출_금액_연령대별_20대,추정매출_금액_연령대별_30대,추정매출_금액_연령대별_40대,추정매출_금액_연령대별_50대,추정매출_금액_연령대별_60이상,추정매출_건수_주중주말_주중,추정매출_건수_주중주말_주말,추정매출_건수_요일별_월,추정매출_건수_요일별_화,추정매출_건수_요일별_수,추정매출_건수_요일별_목,추정매출_건수_요일별_금,추정매출_건수_요일별_토,추정매출_건수_요일별_일,추정매출_건수_시간대별_00-06,추정매출_건수_시간대별_06-11,추정매출_건수_시간대별_11-14,추정매출_건수_시간대별_14-17,추정매출_건수_시간대별_17-21,추정매출_건수_시간대별_21-24,추정매출_건수_성별_남성,추정매출_건수_성별_여성,추정매출_건수_연령대별_10대,추정매출_건수_연령대별_20대,추정매출_건수_연령대별_30대,추정매출_건수_연령대별_40대,추정매출_건수_연령대별_50대,추정매출_건수_연령대별_60이상,소득_금액_월평균,소득_구간,지출_금액,지출_금액_식료품,지출_금액_의류,지출_금액_생활용품,지출_금액_의료,지출_금액_교통,지출_금액_여가,지출_금액_문화,지출_금액_교육,지출_금액_유흥,상주인구,상주인구_성별_남성,상주인구_성별_여성,상주인구_연령대별_10대,상주인구_연령대별_20대,상주인구_연령대별_30대,상주인구_연령대별_40대,상주인구_연령대별_50대,상주인구_연령대별_60이상,상주인구_가구,상주인구_가구_아파트,상주인구_가구_비아파트,생활인구,생활인구_성별_남성,생활인구_성별_여성,생활인구_연령대별_10대,생활인구_연령대별_20대,생활인구_연령대별_30대,생활인구_연령대별_40대,생활인구_연령대별_50대,생활인구_연령대별_60이상,생활인구_시간대별_00-06,생활인구_시간대별_06-11,생활인구_시간대별_11-14,생활인구_시간대별_14-17,생활인구_시간대별_17-21,생활인구_시간대별_21-24,생활인구_요일별_월,생활인구_요일별_화,생활인구_요일별_수,생활인구_요일별_목,생활인구_요일별_금,생활인구_요일별_토,생활인구_요일별_일,직장인구,직장인구_성별_남성,직장인구_성별_여성,직장인구_연령대별_10대,직장인구_연령대별_20대,직장인구_연령대별_30대,직장인구_연령대별_40대,직장인구_연령대별_50대,직장인구_연령대별_60이상,아파트_단지수,아파트_면적_평균,아파트_시가_평균,상권변화지표,상권변화지표_영업개월평균_운영_상권,상권변화지표_영업개월평균_폐업_상권,상권변화지표_영업개월평균_운영_서울,상권변화지표_영업개월평균_폐업_서울
2018,3,D,2120217,618000000,309,618000000,0,0,0,0,618000000,0,0,0,0,618000000,0,0,0,0,0,618000000,0,0,0,618000000,0,0,309,0,0,0,0,309,0,0,0,0,309,0,0,0,0,0,309,0,0,0,309,0,0,3926144.0,8.0,2335650952.0,538034932.0,287094727.0,172784372.0,255432244.0,400606455.0,88277747.0,69061226.0,423812907.0,100546342.0,3981,1984,1997,621,739,791,748,549,533,1986,0,1986,1248955,650019,598936,288996,187282,213740,243482,155739,159714,221976,245003,195719,206546,247156,132557,183343,184858,184408,189666,187209,162783,156690,4250,2546,1704,9,859,1466,1028,548,340,81,58,228000897,LL,90,48,104,52
2018,3,D,2120207,23088737,70,23088737,0,23088737,0,0,0,0,0,0,0,0,0,23088737,0,0,23088737,0,0,0,0,0,0,23088737,70,0,70,0,0,0,0,0,0,0,0,0,70,0,0,70,0,0,0,0,0,0,70,3747543.0,8.0,4195722577.0,972042077.0,520457583.0,329805664.0,458997625.0,728957375.0,170883058.0,128518628.0,705868339.0,180192228.0,6878,3064,3814,860,1087,1657,1271,880,1123,3810,141,3669,1701453,837758,863696,188259,311882,410889,316666,187345,286413,346552,346129,258741,262789,300135,187105,254879,259283,257893,269782,263456,206399,189763,14169,7896,6273,46,3114,4979,3540,1643,847,145,61,238840385,LL,90,47,104,52
2018,2,U,1001491,488078867,1325,488078867,0,75729847,83302832,83302832,99963399,145779957,0,0,0,41651416,253694989,192732462,0,0,41651416,446427451,0,0,0,145779956,9466231,332832680,1325,0,379,189,379,189,189,0,0,0,189,568,568,0,0,189,1136,0,0,0,189,189,947,3033606.0,7.0,3597923964.0,892652401.0,452992792.0,300767570.0,434227797.0,622505959.0,158308758.0,113915725.0,466848178.0,155704784.0,5430,2608,2822,393,717,1039,841,859,1581,3398,0,3398,2294416,1143974,1150442,131214,708881,541291,314972,234908,363152,509855,359448,277444,313123,489537,345009,289182,285452,292081,292351,341809,420934,372608,8157,4496,3661,24,1854,2839,1673,1108,659,67,84,369919205,HH,112,58,103,52
2018,3,A,2110856,27804878,278,27804878,0,0,0,0,27804878,0,0,0,0,0,0,0,27804878,0,0,27804878,0,0,0,0,0,27804878,278,0,0,0,0,278,0,0,0,0,0,0,0,278,0,0,278,0,0,0,0,0,278,2547865.0,6.0,2275495134.0,578358071.0,275841512.0,165370538.0,287747165.0,376422647.0,86977922.0,68949618.0,340718365.0,95109296.0,4281,2099,2182,493,775,861,598,638,916,2213,273,1940,874704,408584,466121,111687,152624,151507,134248,116060,208577,236370,179316,98100,99965,145310,115644,123880,123143,123596,122428,121849,129079,130729,599,294,305,1,74,111,135,151,127,53,45,138986805,HH,107,53,104,52
2018,3,A,2110632,9500000,190,9500000,0,0,6333333,0,0,3166667,0,0,0,0,0,6333333,3166667,0,3166666,6333334,0,0,3166666,0,6333334,0,190,0,0,126,0,0,64,0,0,0,0,0,127,63,0,63,127,0,0,63,0,127,0,2620209.0,6.0,828298124.0,210223508.0,100706742.0,61571853.0,106989503.0,143127164.0,31503583.0,24190068.0,114617480.0,35368223.0,1548,762,786,208,227,217,240,276,380,708,21,687,468509,218939,249571,76995,52944,73822,67767,71079,125902,100800,92976,62760,67253,87655,57065,66423,66109,66722,67402,66703,67849,67301,662,311,351,1,97,133,175,146,110,14,63,121688156,HL,107,50,104,52
2018,3,A,2110716,91500440,513,91500440,0,14849649,14198760,14007205,18855681,29589145,0,0,0,6248083,58319065,26369969,563323,0,12551446,3310336,0,481095,1843951,1991519,5861584,5683632,513,0,114,107,131,83,78,0,0,0,83,196,209,25,0,139,30,0,10,15,10,56,77,2513920.0,6.0,415847556.0,115027119.0,49250886.0,29421062.0,56729019.0,67405599.0,13563858.0,12701317.0,53940083.0,17808613.0,896,426,470,110,101,110,142,167,266,444,0,444,271199,131048,140151,22689,34695,47558,50430,50646,65180,71747,56170,32612,31629,45982,33057,38723,38059,38988,38821,37112,38261,41236,869,481,388,2,129,295,242,132,69,14,49,159197557,HL,116,49,104,52
2018,3,A,2110733,165023722,33,165023722,0,0,165023722,0,0,0,0,0,0,0,0,165023722,0,0,0,165023722,0,0,0,0,0,165023722,33,0,0,33,0,0,0,0,0,0,0,0,33,0,0,0,33,0,0,0,0,0,33,2824489.0,6.0,176214564.0,43877686.0,21403374.0,14586170.0,22234408.0,30312471.0,7660207.0,5238602.0,23747841.0,7153805.0,317,157,160,29,44,86,32,48,78,178,0,178,112819,55749,57070,15366,14205,19704,16794,19424,27325,29123,19762,13429,13978,21503,15022,15893,15677,15920,15937,15846,16833,16715,664,421,243,5,109,133,172,164,81,8,48,128807292,LL,95,46,104,52
2018,3,A,2110735,576104578,1232,576104578,0,0,0,576104578,0,0,0,0,0,101665514,474439064,0,0,0,101665514,474439064,0,0,0,101665514,0,474439064,1232,0,0,0,1232,0,0,0,0,0,616,616,0,0,0,616,616,0,0,0,616,0,616,2444392.0,6.0,2769962029.0,745543938.0,334874295.0,205366746.0,372204858.0,448289233.0,109903416.0,84437639.0,355545276.0,113796628.0,5691,2900,2791,755,847,894,825,1115,1255,2607,117,2490,1061721,532602,529118,105573,151476,179024,167095,191252,267299,335841,230334,108005,101747,146082,139710,150022,148904,151316,149062,146404,154983,161032,467,285,182,0,46,104,116,118,83,39,53,113222510,HL,116,49,104,52
2018,3,A,2110737,1951977863,2465,1951977863,0,325329644,1558871210,0,67777009,0,0,0,0,0,67777009,1884200854,0,0,67777009,1558871210,0,0,0,0,0,1626648219,2465,0,616,1233,0,616,0,0,0,0,0,616,1849,0,0,616,1232,0,0,0,0,0,1848,2533782.0,6.0,1401946792.0,368686056.0,173974001.0,103570725.0,185835052.0,233980528.0,60663353.0,41473604.0,174985364.0,58778109.0,2696,1365,1331,312,421,478,409,491,585,1392,27,1365,807580,410946,396634,66209,121126,163817,131185,146281,178964,244457,166135,81161,80246,121809,113775,113524,113297,113357,113037,116470,118358,119539,587,348,239,2,68,108,118,160,131,33,54,137865437,HL,129,48,104,52
2018,3,A,2110763,158372928,2056,158372928,0,0,0,79186464,0,79186464,0,0,0,79186464,79186464,0,0,0,158372928,0,0,0,158372928,0,0,0,2056,0,0,0,1028,0,1028,0,0,0,1028,1028,0,0,0,2056,0,0,0,2056,0,0,0,3586435.0,7.0,587300760.0,145923569.0,71021315.0,44778735.0,71308868.0,101571008.0,22460483.0,17774502.0,87770615.0,24691665.0,1226,629,597,160,192,302,177,152,243,641,179,462,563460,272363,291097,52787,81149,120544,98946,87900,122134,83352,114196,100486,102684,111879,50862,86255,86796,85506,88577,88486,69014,58825,1063,686,377,2,177,311,231,200,142,9,59,213170679,LH,87,56,104,52
2018,3,A,2110895,162499552,500,162499552,0,0,0,124999655,0,37499897,0,0,0,0,162499552,0,0,0,37499897,0,0,0,0,0,37499897,0,500,0,0,0,250,0,250,0,0,0,0,500,0,0,0,250,0,0,0,0,0,250,0,2891058.0,6.0,5004066746.0,1233372975.0,654084931.0,404340412.0,585805276.0,761591480.0,209485282.0,180869401.0,738770671.0,235746318.0,9191,4579,4612,886,2698,1934,1142,932,1599,5732,150,5582,3226285,1566727,1659558,351906,1024528,606176,394294,332756,516623,779118,632331,372852,370343,609274,462368,442918,447250,458510,454663,461724,482855,478367,1370,769,601,3,229,285,317,338,198,81,63,164287050,LH,81,54,104,52
2018,3,A,2110625,280031280,265,280031280,0,0,265432493,0,14598787,0,0,0,0,0,14598787,265432493,0,0,280031280,0,0,0,0,0,0,280031280,265,0,0,132,0,133,0,0,0,0,0,132,133,0,0,265,0,0,0,0,0,0,265,4977193.0,9.0,1375426945.0,333102645.0,164182623.0,92750131.0,164536350.0,232737552.0,47193512.0,38178821.0,244229211.0,58516100.0,3429,1674,1755,746,470,303,706,624,580,1259,132,1127,869216,394550,474665,222357,97551,98410,164574,129923,156401,201416,172218,108869,119225,159799,107689,120550,121021,123497,123545,121354,130555,128693,514,235,279,6,50,114,158,121,65,13,78,311852086,LL,95,50,104,52
